id,jour,ordre histoires,ordre conditions,histoire,type,condition,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
5,3,s 2310,c 3102,3,vehicule,1,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
5,3,s 2310,c 3102,2,personnage,3,Soltete,Soltete,True,soltete,z_o_l_t_e_t_@,z_o_l_t_e_t_@,0.0,Soltete,z_o_l_t_e_t_@,0.0
5,3,s 2310,c 3102,2,vehicule,3,Wecktellin,Wecktellin,True,vektelin,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0,Wecktellin,v_@_k_t_e_l_i_n,0.0
5,3,s 2310,c 3102,3,personnage,1,Mattendich,Lasgelich,False,lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0,Lasgelich,l_a_s_g_e_l_i_C,0.0
2,3,s 3012,c 2130,0,vehicule,1,Sonistik,Sonistik,True,Sunistik,z_u_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143,Sonistik,z_o_n_i_s_t_i_k,0.7142857142857143
2,3,s 3012,c 2130,0,maison,1,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10,,,10
2,3,s 3012,c 2130,1,maison,3,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
2,3,s 3012,c 2130,0,personnage,1,Mielbete,Mielbete,True,Milbete,m_i_l_b_e_t_@,m_i_l_b_e_t_@,0.0,Mielbete,m_i_l_b_e_t_@,0.0
2,3,s 3012,c 2130,3,maison,2,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
2,3,s 3012,c 2130,1,vehicule,3,Mattendich,Mattendich,True,Machonde,m_a_x_o_n_d_@,m_a_t_@_n_d_i_C,4.0,Mattendich,m_a_t_@_n_d_i_C,4.0
2,3,s 3012,c 2130,2,maison,0,Madikten,Madikten,True,Madikte,m_a_d_i_k_t_@,m_a_d_i_k_t_@,0.0,Madikten,m_a_d_i_k_t_@,0.0
2,3,s 3012,c 2130,1,personnage,3,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
2,3,s 3012,c 2130,3,vehicule,2,-1,Melare,False,,,m_e_l_a_r_@,10,,,10
2,3,s 3012,c 2130,2,personnage,0,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
2,3,s 3012,c 2130,2,vehicule,0,Wecktellin,Wecktellin,True,Vektelin,v_@_k_t_e_l_i_n,v_@_k_t_e_l_i_n,0.0,Wecktellin,v_@_k_t_e_l_i_n,0.0
2,3,s 3012,c 2130,3,personnage,2,Lasgelich,Lasgelich,True,Lasgelich,l_a_s_g_e_l_i_C,l_a_s_g_e_l_i_C,0.0,Lasgelich,l_a_s_g_e_l_i_C,0.0
4,3,s 0231,c 0132,0,vehicule,0,Sonistik,Sonistik,True,melare,m_e_l_a_r_@,z_o_n_i_s_t_i_k,8.285714285714286,Melare,m_e_l_a_r_@,0.0
4,3,s 0231,c 0132,0,maison,0,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
4,3,s 0231,c 0132,1,maison,2,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
4,3,s 0231,c 0132,0,personnage,0,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
4,3,s 0231,c 0132,3,maison,3,Mattendich,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
