id,jour,ordre conditions,ordre histoires,condition,histoire,PM oral,nbSyll,debit moyen,variance debit,identification,dénomination,nb0,nb1,freq moy pédalage/baseline,variance pédalage/baseline,freq moy pédalage,variance pédalage,nbSyllAudio,nbPauses,SpeechRate,ArticulationRate,SpeakingDuration,originalDuration
1,1,c 3012,s 1302,0,3,,799,2.834738442698745,2.475808894674683,0,2.0,0,1,,,,,838,103,2.9685994445389103,4.408670033670034,0.6733548716204726,190.08
1,2,c 3012,s 1302,0,3,,457,2.9267414471873567,2.411553100414489,0,1.0,2,1,,,,,454,61,2.9042988741044016,4.256037198140096,0.682395087001023,106.67199999999991
1,2,c 3012,s 1302,1,0,,444,3.09505663736607,2.1284685057680246,0,0.0,3,0,,,,,465,62,3.2446689739868257,4.598496835443037,0.7055933906441889,101.12000000000002
2,2,c 2130,s 3012,2,3,,148,2.661589406703525,2.7232484110554642,0,0.0,3,0,-28.80372162438054,5.271006251400334,0.7130884679698847,0.03671692202633281,138,23,2.4863072931680597,4.2093704245973615,0.5906601326030559,32.78400000000002
2,1,c 2130,s 3012,1,0,,141,2.811000010631394,2.7398700151868924,0,2.742857142857143,0,1,,,,,137,19,2.7251750477402923,4.342038539553749,0.6276257161043926,31.552000000000024
2,2,c 2130,s 3012,0,2,,156,2.819171611334716,2.5150971777362017,0,1.542857142857143,1,0,,,,,159,26,2.864658402997982,4.4304502897904605,0.646584029979821,35.88799999999999
2,1,c 2130,s 3012,2,3,,120,2.4949808434600906,3.5087126651559855,0,1.0,1,0,-33.41588377508439,65.35191215865932,0.6687348321048476,0.0587415931480349,118,19,2.459973315543696,4.379453681710211,0.5617078052034694,26.944000000000017
2,2,c 2130,s 3012,1,0,,136,2.74491238616642,2.5683737780339104,0,1.5,1,0,,,,,136,20,2.7278562259306804,4.2563845768652975,0.6408857509627729,31.952
2,1,c 2130,s 3012,3,1,,142,2.502830352746649,3.574269070362795,0,1.0714285714285714,1,0,-44.2622073126161,-5.487550314277123,0.4934187937247361,0.03161737645919206,125,25,2.19760900140647,4.045831175556707,0.5431786216596344,30.896
2,1,c 2130,s 3012,0,2,,147,2.8888748526684296,3.537474533678439,0,2.657142857142857,0,1,,,,,133,20,2.6156387665198237,4.131461232604373,0.6331025802391442,32.19200000000001
