id,jour,ordre histoires,ordre conditions,histoire,condition,type,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
2,3,c 2130,s 3012,0,2,vehicule,Wecktellin,Wecktellin,True,Vektelin,,v_@_k_t_e_l_i_n,10,,,10
2,3,c 2130,s 3012,2,3,personnage,Lasgelich,Lasgelich,True,Lasgelich,,l_a_s_g_e_l_i_C,10,,,10
4,3,c 0132,s 0231,0,0,vehicule,Sonistik,Sonistik,True,melare,,z_o_n_i_s_t_i_k,10,,,10
4,3,c 0132,s 0231,0,0,maison,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
4,3,c 0132,s 0231,2,1,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
4,3,c 0132,s 0231,0,0,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
4,3,c 0132,s 0231,3,3,maison,Mattendich,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
4,3,c 0132,s 0231,2,1,vehicule,Mattendich,Mattendich,True,soltete,,m_a_t_@_n_d_i_C,10,,,10
4,3,c 0132,s 0231,1,2,maison,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
4,3,c 0132,s 0231,2,1,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
4,3,c 0132,s 0231,3,3,vehicule,-1,Melare,False,,,m_e_l_a_r_@,10,,,10
4,3,c 0132,s 0231,1,2,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
4,3,c 0132,s 0231,1,2,vehicule,Wecktellin,Wecktellin,True,,,v_@_k_t_e_l_i_n,10,,,10
4,3,c 0132,s 0231,3,3,personnage,Lasgelich,Lasgelich,True,terrain,,l_a_s_g_e_l_i_C,10,,,10
7,2,c 1023,s 1320,3,0,vehicule,Mattendich,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
7,2,c 1023,s 1320,3,0,maison,Zulergen,Keimase,False,,,k_aI_m_a_s_@,10,,,10
7,2,c 1023,s 1320,1,1,maison,Sonistik,Ligete,False,,,l_i_g_e_t_@,10,,,10
7,2,c 1023,s 1320,3,0,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
7,2,c 1023,s 1320,0,3,maison,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
7,2,c 1023,s 1320,1,1,vehicule,Soltete,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
7,2,c 1023,s 1320,2,2,maison,Wecktellin,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
7,2,c 1023,s 1320,1,1,personnage,Madikten,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
7,2,c 1023,s 1320,0,3,vehicule,Soltete,Melare,False,,,m_e_l_a_r_@,10,,,10
7,2,c 1023,s 1320,2,2,personnage,Zulergen,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
7,2,c 1023,s 1320,2,2,vehicule,Lasgelich,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
7,2,c 1023,s 1320,0,3,personnage,Mattendich,Lasgelich,False,Malvese,,l_a_s_g_e_l_i_C,10,,,10
9,2,c 2031,s 3210,1,0,vehicule,Wecktellin,Sonistik,False,M,,z_o_n_i_s_t_i_k,10,,,10
9,2,c 2031,s 3210,1,0,maison,Keimase,Keimase,True,Kassaram,,k_aI_m_a_s_@,10,,,10
9,2,c 2031,s 3210,3,1,maison,Lasgelich,Ligete,False,,,l_i_g_e_t_@,10,,,10
9,2,c 2031,s 3210,1,0,personnage,Mielbete,Mielbete,True,Soltete,,m_i_l_b_e_t_@,10,,,10
9,2,c 2031,s 3210,2,3,maison,Ligete,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
9,2,c 2031,s 3210,3,1,vehicule,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
9,2,c 2031,s 3210,0,2,maison,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
9,2,c 2031,s 3210,3,1,personnage,Tereinat,Tereinat,True,Tereinte,,t_e_r_aI_n_a_t,10,,,10
9,2,c 2031,s 3210,2,3,vehicule,Zulergen,Melare,False,,,m_e_l_a_r_@,10,,,10
9,2,c 2031,s 3210,0,2,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
9,2,c 2031,s 3210,0,2,vehicule,Melare,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
9,2,c 2031,s 3210,2,3,personnage,Mattendich,Lasgelich,False,Lasgelich,,l_a_s_g_e_l_i_C,10,,,10
8,2,c 0231,s 0132,0,0,vehicule,Sonistik,Sonistik,True,F,,z_o_n_i_s_t_i_k,10,,,10
8,2,c 0231,s 0132,0,0,maison,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
8,2,c 0231,s 0132,2,1,maison,-1,Ligete,False,,,l_i_g_e_t_@,10,,,10
8,2,c 0231,s 0132,0,0,personnage,Mielbete,Mielbete,True,,,m_i_l_b_e_t_@,10,,,10
8,2,c 0231,s 0132,3,3,maison,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
8,2,c 0231,s 0132,2,1,vehicule,Ligete,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
8,2,c 0231,s 0132,1,2,maison,Mattendich,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
8,2,c 0231,s 0132,2,1,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
8,2,c 0231,s 0132,3,3,vehicule,Madikten,Melare,False,,,m_e_l_a_r_@,10,,,10
8,2,c 0231,s 0132,1,2,personnage,Soltete,Soltete,True,Sodete,,z_o_l_t_e_t_@,10,,,10
8,2,c 0231,s 0132,1,2,vehicule,Wecktellin,Wecktellin,True,Vekteline,,v_@_k_t_e_l_i_n,10,,,10
8,2,c 0231,s 0132,3,3,personnage,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10,,,10
10,2,c 1230,s 1203,3,0,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
10,2,c 1230,s 1203,3,0,maison,Keimase,Keimase,True,,,k_aI_m_a_s_@,10,,,10
10,2,c 1230,s 1203,1,1,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
10,2,c 1230,s 1203,3,0,personnage,Mielbete,Mielbete,True,milbene,,m_i_l_b_e_t_@,10,,,10
10,2,c 1230,s 1203,0,3,maison,Tereinat,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
10,2,c 1230,s 1203,1,1,vehicule,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
10,2,c 1230,s 1203,2,2,maison,Madikten,Madikten,True,madigte,,m_a_d_i_k_t_@,10,,,10
10,2,c 1230,s 1203,1,1,personnage,-1,Tereinat,False,terainat,,t_e_r_aI_n_a_t,10,,,10
10,2,c 1230,s 1203,0,3,vehicule,Lasgelich,Melare,False,,,m_e_l_a_r_@,10,,,10
