id,jour,ordre conditions,ordre histoires,condition,histoire,mean f,var f,varfn,varfm,varfnm,meanv,varv,varz
14,2,c 2310,s 3102,2,3,0.830065112044244,0.05721070140125625,0.000488980353856891,0.06892314900497445,0.0005890867436322603,0.002302844277254342,3.332072757406697e-08,2.581091669778805e-07
14,2,c 2310,s 3102,3,1,0.6044086087252175,0.054440819876580886,0.0006186456804156919,0.09007287303766935,0.0010235553754280608,0.0016482908983916549,3.3299057764470867e-08,4.8429494198765415e-06
15,1,c 3201,s 2031,3,-1,1.004962161695031,0.052309848090490246,0.000439578555382271,0.05205155983411479,0.00043740806583289737,0.002830972899554393,2.7088920621073653e-08,5.307958954989414e-07
15,1,c 3201,s 2031,2,-1,1.149121371335274,0.06304480416508777,0.0004568464069933897,0.05486348590996092,0.00039756149210116613,0.0032131488268944356,4.036840436249067e-08,5.7213969980849845e-08
15,1,c 3201,s 2031,2,0,1.3181561345234103,0.07364694400085715,0.00040025513043944106,0.0558711840517169,0.0003036477394115049,0.003644198971191942,1.1436892264930059e-07,3.504851913516015e-08
15,1,c 3201,s 2031,3,2,0.8718859362433854,0.055308536039651655,0.0005883886812728899,0.06343551804259448,0.0006748459366233455,0.0023533837871337446,2.1777461081638448e-07,7.236579311905839e-08
15,2,c 3201,s 2031,3,2,0.8601649211312482,0.07153358975446072,0.0005545239515849669,0.08316264474071221,0.0006446716646566837,0.002345706050422519,4.4725997494394776e-08,1.18071265775147e-06
15,2,c 3201,s 2031,2,0,1.2095193730724407,0.06275915331504305,0.00030614221129289293,0.05188767928174745,0.0002531106306426705,0.003372816553065785,3.135155853703424e-08,3.510186591306862e-05
16,1,c 0123,s 0312,2,1,1.1981292778713293,0.10609291372363332,0.0004612735379288405,0.08854880327448851,0.00038499479684560225,0.0033397887396421563,9.713020597306855e-08,2.8214280153834686e-08
16,1,c 0123,s 0312,3,-1,0.8281151009995571,0.05229128105278477,0.0005335845005386201,0.06314494324480714,0.0006443361555592566,0.0023290874327879566,3.380096119845873e-08,1.0041125934088369e-06
16,1,c 0123,s 0312,3,2,0.9247805555858132,0.05011196141912757,0.00034799973207727476,0.05418794882358178,0.0003763052001637623,0.0025680500115115015,7.212922811935571e-08,7.704837669356358e-07
16,2,c 0123,s 0312,2,1,1.2001601797612091,0.09043154804096944,0.0003546335217292919,0.0753495654713042,0.00029548849204433014,0.0033430005367166035,1.2129985282705178e-07,1.3429345424194317e-06
16,2,c 0123,s 0312,3,2,0.7773775630937031,0.09480186751191297,0.0006196200490974704,0.12195086662217673,0.0007970644877266454,0.0021305535085308675,1.0816433144524479e-07,0.00014662316461485034
18,1,c 0321,s 1203,3,-1,0.9584388747452769,0.026185406478226658,0.00023172926086926246,0.02732089355743831,0.00024177781909237442,0.0026906595464909417,7.3914869284185984e-09,1.9186880105860166e-07
18,1,c 0321,s 1203,2,0,1.099961175948567,0.03940345683756795,0.00022388327748618152,0.035822588741450646,0.00020353743603096958,0.0030766387731261686,1.828685336759004e-08,4.047278657997772e-09
18,1,c 0321,s 1203,3,2,0.7051798982548646,0.04302245924638065,0.00046260708867075967,0.06100919687706635,0.0006560128696458747,0.0019861621184853392,3.507750121502575e-08,1.2372673418282525e-07
18,1,c 0321,s 1203,2,-1,1.0887543429470226,0.07032654283382538,0.0005368438384261479,0.06459358191257969,0.0004930807779586235,0.003001346431947336,4.601076704717249e-08,2.0035459308999093e-08
18,2,c 0321,s 1203,2,0,1.1114368110903956,0.029034386554761794,0.00018376194022001136,0.026123290379663665,0.00016533728088394725,0.0031038826538954097,9.954827990043949e-09,6.001286104188967e-09
18,2,c 0321,s 1203,3,2,0.7838749937749979,0.029226048935432108,0.0002757174427870954,0.0372840684643923,0.00035173649494709715,0.0021783266839539134,2.1511939455844904e-08,6.604854492455397e-08
19,1,c 3210,s 0231,2,2,0.7164215227023014,0.04531451265653579,0.0007428608632218983,0.06325118833059623,0.0010369047267310859,0.001990312155956766,2.0175390898346526e-08,3.054306122448991e-08
19,1,c 3210,s 0231,3,-1,0.7354241070632036,0.02697555996652004,0.00031006390766114987,0.03668027700946947,0.0004216123794191893,0.002083675105403558,2.113448247188919e-08,1.245625398308291e-07
19,1,c 3210,s 0231,2,-1,1.0996667391330424,0.04546675240633079,0.00034707444584985335,0.0413459376266813,0.0003156178444784832,0.003072856699907942,2.8012351403524877e-08,3.511444298716714e-08
19,1,c 3210,s 0231,3,0,0.5438751118382796,0.057582036656122514,0.0014044399184420125,0.10587363790466006,0.0025822838513331722,0.0014798972578998159,8.042668833909567e-08,1.3699904164413233e-07
19,2,c 3210,s 0231,2,2,0.5663973055922542,0.024634005458020837,0.0005355218577830617,0.04349244817162796,0.0009454880037310425,0.001558501110651834,1.6226361267728683e-08,3.3570256510416453e-08
19,2,c 3210,s 0231,3,0,0.40386307866240634,0.028365825117405045,0.0008104521462115727,0.07023624246948396,0.002006749784842399,0.0011820895218388329,9.247803281337314e-08,0.0001398798239397507
20,1,c 1023,s 2103,2,-1,0.8818172702078819,0.03634867402209643,0.0003495064809816965,0.04122018841106106,0.00039634796549097175,0.0024799540836092826,4.9392520967417826e-08,2.713676407476635e-05
20,1,c 1023,s 2103,2,0,0.5397425948650003,0.030480518351040067,0.00044174664276869663,0.056472323364925116,0.0008184394690568857,0.001508982790093143,2.2163412485155333e-08,0.00010024019154610339
20,1,c 1023,s 2103,3,-1,0.6869720733246162,0.0312072237911828,0.0003852743677923802,0.04542720876578689,0.0005608297378492208,0.0019279892030700568,1.6581404031725544e-08,2.028107273852041e-05
20,1,c 1023,s 2103,3,3,0.539451166455049,0.02396638174100063,0.00027234524705682536,0.044427342512749365,0.0005048561649176064,0.001523781148237869,2.1213878128551002e-08,1.4769668999999922e-07
20,2,c 1023,s 2103,3,3,0.6212551589878339,0.04530834854829817,0.0005148675971397519,0.07293033770876975,0.0008287538375996563,0.0016793480492444152,6.579508155376721e-08,0.00021069637070474573
20,2,c 1023,s 2103,2,0,0.6619902593118929,0.03381789064504692,0.0004901143571745931,0.05108517862513414,0.0007403649076106398,0.001846145423447028,2.7520355859420663e-08,9.580225775906636e-05
21,1,c 1023,s 2013,2,-1,0.803886746100656,0.059731979330357725,0.0006222081180245596,0.07430397331476664,0.000773999722028819,0.002204873222021194,3.56852739664181e-08,1.0130877882878238e-07
21,1,c 1023,s 2013,3,-1,0.8535458075070294,0.05786424006717661,0.0005729132679918477,0.06779277639027015,0.000671215607824457,0.0023814404054732295,5.884784304272992e-08,2.2624074446224578e-07
21,1,c 1023,s 2013,2,1,0.7777292575058624,0.04461163655837113,0.0004647045474830326,0.057361396820068654,0.0005975145502090485,0.002167968190767457,3.6433216503415955e-08,7.030672869135805e-05
21,1,c 1023,s 2013,3,3,0.46596180600030784,0.03434190694931162,0.0006024895956019583,0.07370111993532992,0.0012930021041285952,0.0013052514000849486,1.4694400462453932e-08,2.1381030565929238e-07
21,2,c 1023,s 2013,3,3,0.43945741267469834,0.04051863970628336,0.0009004142156951858,0.09220151609156418,0.0020489225798125373,0.001198419709844384,5.3513437151739846e-08,0.0004563244222899306
21,2,c 1023,s 2013,2,1,0.7137581849936503,0.049541708130674135,0.0005897822396508825,0.06940965325828784,0.0008263053959319981,0.0019831183417979834,3.731776106849098e-08,3.1567439967549987e-07
